nome	grade	Classificacao	desc	site	youtube	facebook	twitter
Agenda	De segunda a sexta, ás 20:00, reprise as 23:00.	Todas as idades (FIX!!!)	Uma revista eletrônica cultural sobre teatro, cinema, artes plásticas, literatura e outras manifestações artísticas de forma aprofundada e com um apurado cuiado estético e crítico.	TRUE	TRUE	TRUE	TRUE
Alto Falante	Sábado ás 17:00, reprise Domingo às 14 e Quintas às 21:30.	Todas as idades (FIX!!!)	Uma revista eletrônica dedicada à musica pop e suas vertentes.Traz a história, das grandes bandas de rock, divulga artistas independentes, destaca os lançamentos, fala tudo sobre instrumentos musicais e conta ainda com entrevistas.	TRUE	TRUE	TRUE	TRUE
Arrumação	Domingo as 11:00, reprise Quarta às 23:00. 	Todas as idades (FIX!!!)	O Arrumação abre espaço para diversas manifestações culturais como música, a dança, o teatro, a poesia, o folclore, as tradições, a notícia boa e o bom-humor, apresentando os valores mais autênticos da cultura brasileira.	TRUE	TRUE	TRUE	TRUE
Brasil das Gerais	Segunda às 21:00, reprise Sábado às 23:00. Quartas às 21:00, reprise Domingos às 23:00.	Todas as idades (FIX!!!)	O Brasil das Gerais trata de temas como patrimônio cultural, tecnologia social e saúde. É sobre pessoas e sobre histórias de nossa Minas Gerais.	TRUE	TRUE	TRUE	TRUE
Coletânea	Sábado às 15:00, reprise Domingo às 13:00.	Todas as idades (FIX!!!)	Coletânea é um programa musical dedicado à exibição de videoclipes.Nele, você confere um panorama da música pop atual e suas novas tendências, além de revisitar grandes bandas e artistas da história da música. Tem espaço para todos os ritmos, sem preconceito!.	TRUE	TRUE	TRUE	TRUE
Dango Balango	De segunda a sexta em dois horários: 12:00 e 15:30.	Todas as idades (FIX!!!)	As aventuras dos bonecos Sdruvs, Joduca, Druzila e seus amigos, que vivenciam situações inusitadas, lúdicas e, por vezes, absurdas.	TRUE	TRUE	TRUE	TRUE
Extra Classe	Sábado às 10:00, reprise Terça às 13:40.	Todas as idades (FIX!!!)	O Extra-Classe debate temas relacionados à educação, à cidadania e a diversos assuntos de interesse social.	TRUE	TRUE	TRUE	TRUE
Harmonia	Domingo às 20:00, reprise Quinta às 23:00.	Todas as idades (FIX!!!)	O programa traz reportagens, matérias e documentários com o objetivo de divulgar a música clássica de forma atraente.	TRUE	TRUE	TRUE	TRUE
Hypershow	Sábado às 16:00, reprise Domingo às 15:00.	Todas as idades (FIX!!!)	Magazine musical que exibe reportagens e entrevistas com grandes nomes do universo da música brasileira e internacional, combinando conteúdo informativo, opinativo, making offs e depoimentos de artistas e críticos.	TRUE	TRUE	TRUE	TRUE
Imagem da Palavra	Terça às 23:00, reprise Sábado às 20:40 e Domingo às 16:30.	Todas as idades (FIX!!!)	A atração faz uma viagem pelo mundo dos livros e o universo que se abre a partir da palavra escrita, falada e cantada.	TRUE	TRUE	TRUE	TRUE
Jornal Minas	1a Edição: Segunda a Sexta às 12:30  / 2a Edição: Segunda a Sexta às 19:15.	Todas as idades (FIX!!!)	Telejornal que leva aos mineiros as notícias de Minas e dá dicas de saúde, educação, cultura e esporte. O programa traz entrevistas ao vivo, opinião de especialistas e reportagens especiais	TRUE	TRUE	TRUE	TRUE
Meio de campo	Domingo às 21:00.	Todas as idades (FIX!!!)	A notícia do futebol mineiro logo depois da rodada do fim de semana. Matérias especiais, compactos dos jogos, gols e os destaques do esporte no Brasil e no mundo. Informação com a participação de convidados especiais e muito bom humor.	TRUE	TRUE	TRUE	TRUE
Mulhere-se	Quinta às 21:00, reprise Domingo às 16:00.	Todas as idades (FIX!!!)	Mulhere-se é um programa construído de forma colaborativa que pretende abordar a pluralidade do ser mulher e dar visibilidade às questões e à construção social das imagens e do papel das mulheres.	TRUE	TRUE	TRUE	TRUE
Noturno	Sábado às 22:00, reprise Sexta às 21:00.	Todas as idades (FIX!!!)	O Noturno é voltado para apreciação da música instrumental. Ao colocar a música dentro de um contexto audiovisual de qualidade, o programa ressalta ao público o alto nível e a versatilidade dos músicos apresentados.	TRUE	TRUE	TRUE	TRUE
Opinião Minas	Segunda a Sexta às 08:15.	Todas as idades (FIX!!!)	O Opinião Minas é um programa de entrevistas que analisa fatos do cotidiano nas áreas de saúde, psicologia, educação e cidadania, com visão crítica e aprofundada	TRUE	TRUE	TRUE	TRUE
Palavra Cruzada	Quarta às 22:00, reprise Domingo às 22:00.	Todas as idades (FIX!!!)	O Palavra Cruzada é um programa de entrevistas ao vivo que apresenta, a cada semana, um tema diferente com perspectiva aprofundada e didática sobre o assunto selecionado.	TRUE	TRUE	TRUE	TRUE
Rede Mídia	Terça às 21:00.	Todas as idades (FIX!!!)	O Rede Mídia é um programa de debate que analisa e discute o papel da mídia nos dias de hoje, reafirmando o conceito da TV colaborativa.	TRUE	TRUE	TRUE	TRUE
Ribalta	Estréia em Março.	Todas as idades (FIX!!!)	Ribalta registra a história e o pensamento de artistas do teatro de Belo Horizonte que transformaram criativamente a cena. Diretores, atores, dramaturgos, cenógrafos, figurinistas, técnicos, críticos, iluminadores e produtores conversam com parceiros que participaram ativamente de suas criações.	TRUE	FALSE	FALSE	FALSE
Sou 60	Domingo às 09:30, reprises Quarta às 13:40 e Sábado às 19:15.	Todas as idades (FIX!!!)	O Sou 60 busca abordar o envelhecimento de forma aberta e corajosa, com seriedade e otimismo, discutindo temas como cidadania, saúde, sexualidade, comportamento, tecnologia, mercado de trabalho, viagem e exemplos inspiradores.	TRUE	TRUE	TRUE	TRUE
